,dataset,mode,size,channels,auc,class,f1,run
0,pokemon,train,4,48.0,0.5120181405895692,0,,0
1,pokemon,train,4,48.0,0.4450592885375494,1,,0
2,pokemon,train,4,48.0,0.4221590909090909,2,,0
3,pokemon,train,4,48.0,0.6619183285849952,3,,0
4,pokemon,train,4,48.0,0.5715909090909091,4,,0
5,pokemon,train,4,48.0,0.3239669421487603,5,,0
6,pokemon,train,4,48.0,0.3181034482758621,6,,0
7,pokemon,train,4,48.0,0.6025862068965517,7,,0
8,pokemon,train,4,48.0,0.17418032786885249,8,,0
9,pokemon,train,4,48.0,0.5675889328063242,9,,0
10,pokemon,train,4,48.0,0.4656432748538012,10,,0
11,pokemon,train,4,48.0,0.5667984189723321,11,,0
12,pokemon,train,4,48.0,0.5234093637454982,12,,0
13,pokemon,train,4,48.0,0.5402542372881356,13,,0
14,pokemon,train,4,48.0,0.4733606557377049,14,,0
15,pokemon,train,4,48.0,0.40869565217391296,15,,0
16,pokemon,train,4,48.0,0.4297520661157025,16,,0
17,pokemon,train,4,48.0,0.27487244897959184,17,,0
18,pokemon,train,4,48.0,0.4507936507936508,0,,1
19,pokemon,train,4,48.0,0.4260869565217391,1,,1
20,pokemon,train,4,48.0,0.4488636363636364,2,,1
21,pokemon,train,4,48.0,0.5460588793922126,3,,1
22,pokemon,train,4,48.0,0.6403409090909089,4,,1
23,pokemon,train,4,48.0,0.6495867768595042,5,,1
24,pokemon,train,4,48.0,0.478448275862069,6,,1
25,pokemon,train,4,48.0,0.5525862068965517,7,,1
26,pokemon,train,4,48.0,0.540983606557377,8,,1
27,pokemon,train,4,48.0,0.542292490118577,9,,1
28,pokemon,train,4,48.0,0.5745614035087719,10,,1
29,pokemon,train,4,48.0,0.2948616600790513,11,,1
30,pokemon,train,4,48.0,0.3001200480192077,12,,1
31,pokemon,train,4,48.0,0.4544491525423729,13,,1
32,pokemon,train,4,48.0,0.3811475409836066,14,,1
33,pokemon,train,4,48.0,0.3312252964426878,15,,1
34,pokemon,train,4,48.0,0.4661157024793389,16,,1
35,pokemon,train,4,48.0,0.4100765306122449,17,,1
36,pokemon,train,4,48.0,0.4970521541950113,0,,2
37,pokemon,train,4,48.0,0.5059288537549407,1,,2
38,pokemon,train,4,48.0,0.6051136363636364,2,,2
39,pokemon,train,4,48.0,0.5773979107312441,3,,2
40,pokemon,train,4,48.0,0.3721590909090909,4,,2
41,pokemon,train,4,48.0,0.3636363636363637,5,,2
42,pokemon,train,4,48.0,0.6310344827586207,6,,2
43,pokemon,train,4,48.0,0.5094827586206896,7,,2
44,pokemon,train,4,48.0,0.21106557377049184,8,,2
45,pokemon,train,4,48.0,0.5035573122529644,9,,2
46,pokemon,train,4,48.0,0.4378654970760234,10,,2
47,pokemon,train,4,48.0,0.4102766798418972,11,,2
48,pokemon,train,4,48.0,0.6278511404561824,12,,2
49,pokemon,train,4,48.0,0.5858050847457628,13,,2
50,pokemon,train,4,48.0,0.3913934426229509,14,,2
51,pokemon,train,4,48.0,0.4379446640316206,15,,2
52,pokemon,train,4,48.0,0.6925619834710743,16,,2
53,pokemon,train,4,48.0,0.4241071428571429,17,,2
54,pokemon,test,4,48.0,,0,,0
55,pokemon,test,4,48.0,0.5689655172413792,1,,0
56,pokemon,test,4,48.0,0.4786324786324786,2,,0
57,pokemon,test,4,48.0,0.13095238095238093,3,,0
58,pokemon,test,4,48.0,0.7,4,,0
59,pokemon,test,4,48.0,,5,,0
60,pokemon,test,4,48.0,0.8214285714285714,6,,0
61,pokemon,test,4,48.0,,7,,0
62,pokemon,test,4,48.0,0.06666666666666665,8,,0
63,pokemon,test,4,48.0,,9,,0
64,pokemon,test,4,48.0,0.3809523809523809,10,,0
65,pokemon,test,4,48.0,0.34,11,,0
66,pokemon,test,4,48.0,,12,,0
67,pokemon,test,4,48.0,0.35714285714285715,13,,0
68,pokemon,test,4,48.0,,14,,0
69,pokemon,test,4,48.0,0.8333333333333334,15,,0
70,pokemon,test,4,48.0,,16,,0
71,pokemon,test,4,48.0,0.6845238095238095,17,,0
72,pokemon,test,4,48.0,,0,,1
73,pokemon,test,4,48.0,0.7413793103448276,1,,1
74,pokemon,test,4,48.0,0.3632478632478632,2,,1
75,pokemon,test,4,48.0,0.5476190476190477,3,,1
76,pokemon,test,4,48.0,0.3384615384615384,4,,1
77,pokemon,test,4,48.0,,5,,1
78,pokemon,test,4,48.0,0.8690476190476191,6,,1
79,pokemon,test,4,48.0,,7,,1
80,pokemon,test,4,48.0,0.06666666666666665,8,,1
81,pokemon,test,4,48.0,,9,,1
82,pokemon,test,4,48.0,0.27380952380952384,10,,1
83,pokemon,test,4,48.0,0.4133333333333334,11,,1
84,pokemon,test,4,48.0,,12,,1
85,pokemon,test,4,48.0,0.2380952380952381,13,,1
86,pokemon,test,4,48.0,,14,,1
87,pokemon,test,4,48.0,0.6666666666666667,15,,1
88,pokemon,test,4,48.0,,16,,1
89,pokemon,test,4,48.0,0.5,17,,1
90,pokemon,test,4,48.0,,0,,2
91,pokemon,test,4,48.0,0.4482758620689655,1,,2
92,pokemon,test,4,48.0,0.3931623931623932,2,,2
93,pokemon,test,4,48.0,0.6428571428571428,3,,2
94,pokemon,test,4,48.0,0.5923076923076923,4,,2
95,pokemon,test,4,48.0,,5,,2
96,pokemon,test,4,48.0,0.4761904761904761,6,,2
97,pokemon,test,4,48.0,,7,,2
98,pokemon,test,4,48.0,0.7333333333333334,8,,2
99,pokemon,test,4,48.0,,9,,2
100,pokemon,test,4,48.0,0.5833333333333333,10,,2
101,pokemon,test,4,48.0,0.7066666666666667,11,,2
102,pokemon,test,4,48.0,,12,,2
103,pokemon,test,4,48.0,0.5238095238095237,13,,2
104,pokemon,test,4,48.0,,14,,2
105,pokemon,test,4,48.0,0.1333333333333333,15,,2
106,pokemon,test,4,48.0,,16,,2
107,pokemon,test,4,48.0,0.5297619047619047,17,,2
108,pokemon,train,4,192.0,0.4317460317460317,0,,0
109,pokemon,train,4,192.0,0.4798418972332016,1,,0
110,pokemon,train,4,192.0,0.5261363636363636,2,,0
111,pokemon,train,4,192.0,0.5546058879392213,3,,0
112,pokemon,train,4,192.0,0.5250000000000001,4,,0
113,pokemon,train,4,192.0,0.659504132231405,5,,0
114,pokemon,train,4,192.0,0.5293103448275862,6,,0
115,pokemon,train,4,192.0,0.4663793103448277,7,,0
116,pokemon,train,4,192.0,0.3811475409836066,8,,0
117,pokemon,train,4,192.0,0.6213438735177865,9,,0
118,pokemon,train,4,192.0,0.23976608187134504,10,,0
119,pokemon,train,4,192.0,0.5770750988142292,11,,0
120,pokemon,train,4,192.0,0.6314525810324129,12,,0
121,pokemon,train,4,192.0,0.5021186440677966,13,,0
122,pokemon,train,4,192.0,0.6823770491803278,14,,0
123,pokemon,train,4,192.0,0.4909090909090909,15,,0
124,pokemon,train,4,192.0,0.19669421487603306,16,,0
125,pokemon,train,4,192.0,0.7321428571428572,17,,0
126,pokemon,train,4,192.0,0.4743764172335601,0,,1
127,pokemon,train,4,192.0,0.3920948616600791,1,,1
128,pokemon,train,4,192.0,0.7727272727272727,2,,1
129,pokemon,train,4,192.0,0.5422602089268755,3,,1
130,pokemon,train,4,192.0,0.4954545454545455,4,,1
131,pokemon,train,4,192.0,0.7851239669421488,5,,1
132,pokemon,train,4,192.0,0.38706896551724135,6,,1
133,pokemon,train,4,192.0,0.5491379310344828,7,,1
134,pokemon,train,4,192.0,0.44877049180327866,8,,1
135,pokemon,train,4,192.0,0.38893280632411065,9,,1
136,pokemon,train,4,192.0,0.375,10,,1
137,pokemon,train,4,192.0,0.509090909090909,11,,1
138,pokemon,train,4,192.0,0.602641056422569,12,,1
139,pokemon,train,4,192.0,0.4957627118644068,13,,1
140,pokemon,train,4,192.0,0.5532786885245902,14,,1
141,pokemon,train,4,192.0,0.5667984189723321,15,,1
142,pokemon,train,4,192.0,0.5669421487603306,16,,1
143,pokemon,train,4,192.0,0.8450255102040817,17,,1
144,pokemon,train,4,192.0,0.5523809523809524,0,,2
145,pokemon,train,4,192.0,0.4861660079051384,1,,2
146,pokemon,train,4,192.0,0.4125,2,,2
147,pokemon,train,4,192.0,0.3228869895536562,3,,2
148,pokemon,train,4,192.0,0.5596590909090908,4,,2
149,pokemon,train,4,192.0,0.5669421487603306,5,,2
150,pokemon,train,4,192.0,0.5353448275862069,6,,2
151,pokemon,train,4,192.0,0.5637931034482758,7,,2
152,pokemon,train,4,192.0,0.5471311475409837,8,,2
153,pokemon,train,4,192.0,0.5778656126482213,9,,2
154,pokemon,train,4,192.0,0.5782163742690059,10,,2
155,pokemon,train,4,192.0,0.500395256916996,11,,2
156,pokemon,train,4,192.0,0.6038415366146459,12,,2
157,pokemon,train,4,192.0,0.4491525423728814,13,,2
158,pokemon,train,4,192.0,0.7315573770491803,14,,2
159,pokemon,train,4,192.0,0.6418972332015811,15,,2
160,pokemon,train,4,192.0,0.3173553719008265,16,,2
161,pokemon,train,4,192.0,0.7448979591836735,17,,2
162,pokemon,test,4,192.0,,0,,0
163,pokemon,test,4,192.0,0.6551724137931034,1,,0
164,pokemon,test,4,192.0,0.5128205128205129,2,,0
165,pokemon,test,4,192.0,0.8571428571428571,3,,0
166,pokemon,test,4,192.0,0.6307692307692307,4,,0
167,pokemon,test,4,192.0,,5,,0
168,pokemon,test,4,192.0,0.5357142857142857,6,,0
169,pokemon,test,4,192.0,,7,,0
170,pokemon,test,4,192.0,0.9666666666666668,8,,0
