,channels1,channels2,mean,size1,size2,std
0,48,48,0.9999185767392184,3,3,4.613941633062051e-05
1,48,192,0.7287757434733663,3,3,0.1046068331694674
2,48,768,0.9291449868316701,3,3,0.029150962115956188
3,48,3072,0.9922062735122049,3,3,0.0009573174199832806
4,48,12,0.6132019981309125,3,6,0.11932205230913413
5,48,48,0.4228277653589323,3,6,0.07014060854612471
6,48,192,0.6125222602311554,3,6,0.06154621419325992
7,48,768,0.8994017943184187,3,6,0.019371084995038212
8,48,3,0.5988826449231311,3,12,0.10579771614967673
9,48,12,0.43789246673464216,3,12,0.06304192966581822
10,48,48,0.36556557085531355,3,12,0.036660936604748284
11,48,192,0.5318226755365576,3,12,0.04011909538220417
12,48,3,0.3974173049033809,3,96,0.08749444024784685
13,192,192,0.9995959624817706,3,3,0.00023093877953934215
14,192,768,0.8815154289197721,3,3,0.013399961215537647
15,192,3072,0.9886353699537374,3,3,0.002258166102568852
16,192,12,0.7746786714557427,3,6,0.10934112359382464
17,192,48,0.5961080921948422,3,6,0.058848183880975444
18,192,192,0.4988969559572176,3,6,0.026273858050333984
19,192,768,0.8580191025804361,3,6,0.007971822275567675
20,192,3,0.7407411935596602,3,12,0.10414437435114318
21,192,12,0.6189125133187083,3,12,0.04842482610307995
22,192,48,0.5438703433969949,3,12,0.030705028573595056
23,192,192,0.4655326811805102,3,12,0.015105265224463845
24,192,3,0.6244628425179842,3,96,0.06522652232299743
25,768,768,0.9984649122266066,3,3,0.000813854540354024
26,768,3072,0.9924878841349929,3,3,0.0039216988257542145
27,768,12,0.9390103463777463,3,6,0.029048766155828822
28,768,48,0.895701089169592,3,6,0.01638041426462277
29,768,192,0.8628528586854689,3,6,0.005958304229692625
30,768,768,0.8609239842501132,3,6,0.001370236152651486
31,768,3,0.9289149116436012,3,12,0.021687926664346092
32,768,12,0.8950406672550548,3,12,0.0130196179009246
33,768,48,0.878929597214677,3,12,0.006899758655970808
34,768,192,0.8515236106497321,3,12,0.002704783604894036
35,768,3,0.8987393220235946,3,96,0.016485862454369976
36,3072,3072,0.9952171378433401,3,3,0.002620947480003236
37,3072,12,0.9940546730018394,3,6,0.0012302603769241633
38,3072,48,0.9884924821701233,3,6,0.0012597016021433922
39,3072,192,0.9861351492593587,3,6,0.003003437544963916
40,3072,768,0.9920607450329985,3,6,0.004048267763281256
41,3072,3,0.9934978894869704,3,12,0.0008838226958964546
42,3072,12,0.9890279637060284,3,12,0.00165011297602369
43,3072,48,0.9855457588903211,3,12,0.0030083852178538983
44,3072,192,0.9846615247471272,3,12,0.0036738298473877537
45,3072,3,0.9892661329835339,3,96,0.0021440884514756483
46,12,12,0.999965330439848,6,6,2.4086738885538735e-05
47,12,48,0.7851497528237148,6,6,0.06604371392844753
48,12,192,0.8518597292985045,6,6,0.04730780985076838
49,12,768,0.9601601792235469,6,6,0.014477239080276823
50,12,3,0.5735468687497899,6,12,0.08164057184268664
51,12,12,0.3444354987099614,6,12,0.058689001657146356
52,12,48,0.4581422382777975,6,12,0.06948263546305551
53,12,192,0.6283786895571518,6,12,0.0529075511518406
54,12,3,0.27722168385123314,6,96,0.10747628155713879
55,48,48,0.999877995662432,6,6,4.543028760645532e-05
56,48,192,0.6893272092906101,6,6,0.036561878016800456
57,48,768,0.9195087800940738,6,6,0.011292114268410073
58,48,3,0.7960992193543126,6,12,0.06603708740600443
59,48,12,0.5205509505689595,6,12,0.06964370511680895
60,48,48,0.3748415825554246,6,12,0.04383360649651423
61,48,192,0.5446722913420831,6,12,0.03731471901608571
62,48,3,0.4393294897248211,6,96,0.1025084134915843
63,192,192,0.998409517332758,6,6,0.0008342799414855646
64,192,768,0.8829034020729565,6,6,0.006499544965707009
65,192,3,0.8834400431570419,6,12,0.04434072964956912
66,192,12,0.7417854836421257,6,12,0.04622910550689927
67,192,48,0.604071037366402,6,12,0.0313721257777796
68,192,192,0.48517129385395197,6,12,0.014072175386039585
69,192,3,0.6483378129390719,6,96,0.0535051367425088
70,768,768,0.9975609103702721,6,6,0.001436894643596037
71,768,3,0.9662345518170896,6,12,0.011973053938878785
72,768,12,0.9248067400851715,6,12,0.014533292358488792
73,768,48,0.888476279564892,6,12,0.00890296107224355
74,768,192,0.8543434538427535,6,12,0.00393662549022167
75,768,3,0.9051185107993958,6,96,0.02042025199231559
76,3,3,0.9999880179686933,12,12,2.0852411053399604e-06
77,3,12,0.7993065572511578,12,12,0.04100402221014094
78,3,48,0.8475478218391699,12,12,0.0330168691272703
79,3,192,0.9090017804028228,12,12,0.02017052714295701
80,3,3,0.12864236370786028,12,96,0.09474734810514773
81,12,12,0.9999579165046255,12,12,3.14858340960055e-05
82,12,48,0.8256405722263036,12,12,0.034729969797381736
83,12,192,0.9012766822968674,12,12,0.01892488626735227
84,12,3,0.29932542739514756,12,96,0.13651004734233604
85,48,48,0.9985254527854638,12,12,0.00073004635559565
86,48,192,0.7044856777737463,12,12,0.01704622219479643
87,48,3,0.4482909075250519,12,96,0.12507532971579624
88,192,192,0.998278807812757,12,12,0.0010621006921346708
89,192,3,0.6055369711039114,12,96,0.08600326052270091
