,size1,channels1,size2,channels2,mean,std
0,3,48,3,48,1.0,0.0
1,3,48,3,192,0.7698988672023078,0.09624588242633879
2,3,48,3,768,0.944823978043754,0.026299836468231187
3,3,48,3,3072,0.9948627389749161,0.0011726645632837637
4,3,48,6,12,0.6609563445363272,0.08851784532447843
5,3,48,6,48,0.4870031420440564,0.06009895778043595
6,3,48,6,192,0.657264315857388,0.052787575281920546
7,3,48,6,768,0.9179499639084364,0.01580288017255402
8,3,48,12,3,0.7912246739514524,0.04314824370562706
9,3,48,12,12,0.5872983848022844,0.07169406227902132
10,3,48,12,48,0.4555843930194042,0.04393557345406628
11,3,48,12,192,0.6215024596470494,0.03644735544319766
12,3,48,96,3,0.4218519564722894,0.0747665542062833
13,3,192,3,192,1.0,0.0
14,3,192,3,768,0.8953483341590766,0.012355661774937429
15,3,192,3,3072,0.9920094880774228,0.0005276906349143966
16,3,192,6,12,0.8314122056727847,0.0771462297934944
17,3,192,6,48,0.6917667495108903,0.05934587200063012
18,3,192,6,192,0.5377146314453073,0.02653622204773296
19,3,192,6,768,0.8820092534299194,0.008147365973663627
20,3,192,12,3,0.9099046922385762,0.03758894812250188
21,3,192,12,12,0.7828961556713179,0.0653450618339294
22,3,192,12,48,0.6605630835674976,0.042117303566699064
23,3,192,12,192,0.5197525927296994,0.017527392819116486
24,3,192,96,3,0.6155658196304996,0.08266265169451656
25,3,768,3,768,1.0,0.0
26,3,768,3,3072,0.9970801231790909,0.0010742679636346207
27,3,768,6,12,0.9581629309217554,0.02264557935756484
28,3,768,6,48,0.9244309874913976,0.017799975631179247
29,3,768,6,192,0.8811926238568106,0.007317574596820853
30,3,768,6,768,0.8784540358396019,0.0007033190466808483
31,3,768,12,3,0.9781786186240853,0.012566572607624463
32,3,768,12,12,0.9449584096671645,0.018100019656885992
33,3,768,12,48,0.9159098433761778,0.011211056872200217
34,3,768,12,192,0.8750054196242286,0.004905594312412967
35,3,768,96,3,0.8931390043882824,0.021968544514668665
36,3,3072,3,3072,1.0,0.0
37,3,3072,6,12,0.9962841571789581,0.0008271671352954371
38,3,3072,6,48,0.992813473240605,0.00031251885064631106
39,3,3072,6,192,0.9906728818650655,0.0009593690879926165
40,3,3072,6,768,0.9970553669337158,0.0010719189601453673
41,3,3072,12,3,0.9978750009969356,0.00044503839881384705
42,3,3072,12,12,0.994742612723004,0.0015887292272551258
43,3,3072,12,48,0.9918338318771893,0.000850583591710655
44,3,3072,12,192,0.9899269869518744,0.0012254164943331371
45,3,3072,96,3,0.9902377600060611,0.0031037914320782433
46,6,12,6,12,1.0,0.0
47,6,12,6,48,0.7499186137120943,0.04898896270878938
48,6,12,6,192,0.870434437606791,0.032637476288766926
49,6,12,6,768,0.9663817407611026,0.008907350810630663
50,6,12,12,3,0.6053105277460827,0.08769217798216787
51,6,12,12,12,0.41271959690181687,0.0782690883750422
52,6,12,12,48,0.644491876489502,0.06306265458855918
53,6,12,12,192,0.788940153893787,0.04248564256122245
54,6,12,96,3,0.29208045123366416,0.07320598213974473
55,6,48,6,48,1.0,0.0
56,6,48,6,192,0.7340893519466893,0.0279685939571362
57,6,48,6,768,0.9340552474777196,0.007515456388475449
58,6,48,12,3,0.7904468713272128,0.07119280838864814
59,6,48,12,12,0.6357975655179476,0.08704051312331354
60,6,48,12,48,0.5126446194537623,0.03892262143692047
61,6,48,12,192,0.675160149534761,0.026028416190045808
62,6,48,96,3,0.44549733839953976,0.10128213940530056
63,6,192,6,192,1.0,0.0
64,6,192,6,768,0.8881591718380739,0.004126164289642555
65,6,192,12,3,0.890859433542289,0.0416292423715246
66,6,192,12,12,0.7944211230312626,0.06111638859159719
67,6,192,12,48,0.6875336847011213,0.03016287549690905
68,6,192,12,192,0.5371536595793505,0.010346520436569723
69,6,192,96,3,0.6182810356669718,0.08487851047139772
70,6,768,6,768,1.0,0.0
71,6,768,12,3,0.9720411620841044,0.011143697939706194
72,6,768,12,12,0.9479013935972068,0.016013507918471535
73,6,768,12,48,0.9239712203957975,0.00833525387111172
74,6,768,12,192,0.8813004830423986,0.0030126893942664383
75,6,768,96,3,0.8982669732084267,0.023237609911298026
76,12,3,12,3,1.0,0.0
77,12,3,12,12,0.5251542326961304,0.11835203804187315
78,12,3,12,48,0.7872677135298773,0.07855190088365256
79,12,3,12,192,0.8803898637284128,0.04504555193460854
80,12,3,96,3,0.12504011163874418,0.0652870431256524
81,12,12,12,12,1.0,0.0
82,12,12,12,48,0.6988067240198997,0.06652310829918566
83,12,12,12,192,0.840322279952959,0.04307080259208555
84,12,12,96,3,0.2727685028727026,0.09685689186778765
85,12,48,12,48,1.0,0.0
86,12,48,12,192,0.7409254936015686,0.028988807590672676
87,12,48,96,3,0.48846665195770606,0.12083180813302521
88,12,192,12,192,1.0,0.0
89,12,192,96,3,0.6496737718315008,0.08137006207930862
