,size1,channels1,size2,channels2,mean,std
0,3,48,3,48,1.0,0.0
1,3,48,3,192,0.7031939245999573,0.09945236068776371
2,3,48,3,768,0.9224141661848935,0.024214214472760395
3,3,48,3,3072,0.991976335400817,0.001269738218467166
4,3,48,6,12,0.5574474734376115,0.11398067717626283
5,3,48,6,48,0.38877624037237724,0.06695374086262094
6,3,48,6,192,0.5491175740427369,0.047347455057156186
7,3,48,6,768,0.8860326274959395,0.014306691145632136
8,3,48,12,3,0.6589550848306887,0.13309720424539825
9,3,48,12,12,0.362129390248353,0.056309689217110354
10,3,48,12,48,0.3171679098843643,0.0363706167381105
11,3,48,12,192,0.49147454140058433,0.03351405996404478
12,3,48,96,3,0.2623977845754132,0.02825345511906051
13,3,192,3,192,1.0,0.0
14,3,192,3,768,0.8804181557790671,0.010396298092651463
15,3,192,3,3072,0.9891450510972146,0.0017965430195577231
16,3,192,6,12,0.7491794784977491,0.10638472494831538
17,3,192,6,48,0.5718095807231376,0.054225605288119004
18,3,192,6,192,0.4801533732343002,0.020488029266963085
19,3,192,6,768,0.857324166468804,0.004990338421679616
20,3,192,12,3,0.7805013765642739,0.10610462633469783
21,3,192,12,12,0.5696122052725116,0.054258753586991885
22,3,192,12,48,0.5022891630130197,0.030524204912475747
23,3,192,12,192,0.45367413349660457,0.015260759454949743
24,3,192,96,3,0.46641078538900427,0.018887171100100828
25,3,768,3,768,1.0,0.0
26,3,768,3,3072,0.9944008980406738,0.0029986956861321884
27,3,768,6,12,0.9302504437182374,0.025490062660345352
28,3,768,6,48,0.8916107941625201,0.016175666793673417
29,3,768,6,192,0.8610665980984328,0.004367817784293133
30,3,768,6,768,0.869576935529574,0.0013303471316337325
31,3,768,12,3,0.9445920893359199,0.029866165560064196
32,3,768,12,12,0.8899594157586986,0.015573461632261941
33,3,768,12,48,0.8745769639436731,0.009315098929669025
34,3,768,12,192,0.854384145105594,0.003049315375397147
35,3,768,96,3,0.8941892603942632,0.02067431154133318
36,3,3072,3,3072,1.0,0.0
37,3,3072,6,12,0.9936709991514223,0.001191022664096317
38,3,3072,6,48,0.9886895766900248,0.0010282349466865799
39,3,3072,6,192,0.9869899895338041,0.002503668583879951
40,3,3072,6,768,0.9939653779799007,0.003087327647021519
41,3,3072,12,3,0.9952737848881532,0.001472236527154245
42,3,3072,12,12,0.9891131944376512,0.001593819815673869
43,3,3072,12,48,0.9861616685829878,0.001956012088143221
44,3,3072,12,192,0.9857951669970366,0.002831798306374126
45,3,3072,96,3,0.9873417852132707,0.0026543365283609767
46,6,12,6,12,1.0,0.0
47,6,12,6,48,0.7901027205493336,0.07639966131109463
48,6,12,6,192,0.8492318933173296,0.05865910751152509
49,6,12,6,768,0.9557000208741245,0.015106073073115959
50,6,12,12,3,0.6159950087800724,0.1592878677883567
51,6,12,12,12,0.31847712174833226,0.0640303264559381
52,6,12,12,48,0.425857387421129,0.07461360876845387
53,6,12,12,192,0.5916015966678317,0.06467440430035076
54,6,12,96,3,0.19721736026506168,0.09446168888214869
55,6,48,6,48,1.0,0.0
56,6,48,6,192,0.6732869287358643,0.039765657056032765
57,6,48,6,768,0.9168383215631377,0.011152568470849217
58,6,48,12,3,0.8138602252676677,0.06124065394845183
59,6,48,12,12,0.5002080836809817,0.07935135519622424
60,6,48,12,48,0.35282011943672476,0.05220856221074077
61,6,48,12,192,0.5235669409091201,0.04366398102039967
62,6,48,96,3,0.39616132097165185,0.12694541664412168
63,6,192,6,192,1.0,0.0
64,6,192,6,768,0.8768836384851686,0.005108714368908741
65,6,192,12,3,0.8723112048135313,0.04264561454689148
66,6,192,12,12,0.6843425225363174,0.05113465449582571
67,6,192,12,48,0.5391166320483032,0.031222895049560193
68,6,192,12,192,0.47113821384452337,0.016513814585924432
69,6,192,96,3,0.471605385458783,0.05543909922012296
70,6,768,6,768,1.0,0.0
71,6,768,12,3,0.9638809257442273,0.010868081916638708
72,6,768,12,12,0.9159582794799631,0.016348418585950493
73,6,768,12,48,0.8803780032812134,0.01068826157349949
74,6,768,12,192,0.8552711332249472,0.004679179594353754
75,6,768,96,3,0.891240572386898,0.02298405860144524
76,12,3,12,3,1.0,0.0
77,12,3,12,12,0.8013748084999539,0.05247675546352844
78,12,3,12,48,0.8519196439232494,0.034334030927424035
79,12,3,12,192,0.8951738109731817,0.02384578907989881
80,12,3,96,3,0.07016667137148139,0.050398847383374745
81,12,12,12,12,1.0,0.0
82,12,12,12,48,0.8437577810123893,0.037100254998651716
83,12,12,12,192,0.8990235852390784,0.02271399056906846
84,12,12,96,3,0.27141998448544435,0.14492527677275602
85,12,48,12,48,1.0,0.0
86,12,48,12,192,0.7091515103556181,0.019879807957624153
87,12,48,96,3,0.43099589610432104,0.11955834350264216
88,12,192,12,192,1.0,0.0
89,12,192,96,3,0.5871561651909303,0.08832873086514802
